Platform,Function,Analyzer,Part No.,Description,Information,ListPrice,Discount,Quantity,Unit Price,Total Price
LaserDust,Flange/Purge Units,106595 Flange‐/purge Kit LD‐XLP DN150/PN1‐6 Compatible,106595,Flange‐/purge Kit LD‐XLP DN150/PN1‐6 Compatible,"R2''/R5"", Std: O‐ring: NBR70, 3/8"" tube fitting",33235,0,1,33235,33235
LaserDust,Flange O‐rings,"103666 Flange O‐ring 65,00 x 10,00 NBR70",103666,"Flange O‐ring 65,00 x 10,00 NBR70","DN50/ ANSI 2""",345,0,1,345,345
LaserDust,Flange O‐rings,"104051 Flange O‐ring 65,00 x 10,00 KFM75 Viton",104051,"Flange O‐ring 65,00 x 10,00 KFM75 Viton","DN50/ ANSI 2""",805,0,1,805,805
LaserDust,Flange O‐rings,"104049 Flange O‐ring 65,00 x 10,00 PTFE (Teflon)",104049,"Flange O‐ring 65,00 x 10,00 PTFE (Teflon)","DN50/ ANSI 2""",805,0,1,805,805
LaserDust,Flange O‐rings,"103710 Flange O‐ring 95,0 x 10,0 NBR 80",103710,"Flange O‐ring 95,0 x 10,0 NBR 80","DN80/ DN100/ ANSI 3""",345,0,1,345,345
LaserDust,Flange O‐rings,"104052 Flange O‐ring 95,00 x 10,0 Viton",104052,"Flange O‐ring 95,00 x 10,0 Viton","DN80/ DN100/ ANSI 3""",1150,0,1,1150,1150
LaserDust,Flange O‐rings,"103547 Flange O‐ring 95,00 x 10,00, PTFE (Teflon)",103547,"Flange O‐ring 95,00 x 10,00, PTFE (Teflon)","DN80/DN100/ ANSI 3""",1035,0,1,1035,1035
LaserDust,Flange O‐rings,"100798 Flange O‐ring 116,00 x 12,00 NBR70",100798,"Flange O‐ring 116,00 x 12,00 NBR70","DN150/ANSI 4""",575,0,1,575,575
LaserDust,Flange O‐rings,"104492 Flange O‐ring 116,00 x 12,00 Viton 80",104492,"Flange O‐ring 116,00 x 12,00 Viton 80","DN150/ANSI 4""",1380,0,1,1380,1380
LaserDust,Flange O‐rings,104578 Flange O‐ring 140 x 16 NBR70,104578,Flange O‐ring 140 x 16 NBR70,LaserDust XLP,690,0,1,690,690
LaserDust,Customized Tuning,103162 LaserDust High Temp option (>500 degC),103162,LaserDust High Temp option (>500 degC),,13570,0,1,13570,13570
LaserDust,Certification,"109977 Certification fee GOST, LD",109977,"Certification fee GOST, LD",NB! No discount,26105,0,1,26105,26105
LaserGas II Single Path,Calibration cells,103426 Calibration Cell LGII SP Electropolished l=712 mm (AISI316),103426,Calibration Cell LGII SP Electropolished l=712 mm (AISI316),Swagelok 6 mm OD fittings,11845,0,1,11845,11845
LaserGas II Single Path,Calibration cells,100224 Calibration Cell LaserGas II SP l=712 mm (Al),100224,Calibration Cell LaserGas II SP l=712 mm (Al),Swagelok 6 mm OD fittings,5980,0,1,5980,5980
LaserGas II Single Path,Calibration cells,100358 Calibration Cell LaserGas II SP l=712 mm (AISI316),100358,Calibration Cell LaserGas II SP l=712 mm (AISI316),Swagelok 6 mm OD fittings,10350,0,1,10350,10350
LaserGas II Single Path,Calibration cells,101102 Calibration cell kit LaserGas II SP HF (Al+PTFE),101102,Calibration cell kit LaserGas II SP HF (Al+PTFE),incl. PTFE cell w/ sapphire window,10925,0,1,10925,10925
LaserGas II Single Path,Alignment kits,106897 Alignment tool kit LaserGas II/ III/ Q SP,106897,Alignment tool kit LaserGas II/ III/ Q SP,Complete with target,4830,0,1,4830,4830
LaserGas II Single Path,Span check box,101833 LGII/LD Span/Zero Switch box,101833,LGII/LD Span/Zero Switch box,,4370,0,1,4370,4370
LaserGas II Single Path,Measurement cell,102538 Measurement cell L 700mm w/Saphire windows & flanges,102538,Measurement cell L 700mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges, Standard Cell. NOT Suitable for H2",46460,0,1,46460,46460
LaserGas II Single Path,Measurement cell,106160 Measurement cell L 500mm w/Saphire windows & flanges,106160,Measurement cell L 500mm w/Saphire windows & flanges," Electropolished SS316, Suited for DN50-flanges",46460,0,1,46460,46460
LaserGas II Single Path,Measurement cell,106159 Measurement cell L 200mm w/Saphire windows & flanges,106159,Measurement cell L 200mm w/Saphire windows & flanges," Electropolished SS316, Suited for DN50-flanges",46460,0,1,46460,46460
LaserGas II Single Path,Measurement cell,111600 Measurement cell for H2 L:0. 7m w/Sapphire windows & flanges,111600,Measurement cell for H2 L:0. 7m w/Sapphire windows & flanges,"Special Cell for H2, Electropolished including DN50-flanges. Extended purge/alignment units",71185,0,1,71185,71185
LaserGas II Single Path,Measurement cell,112137 Measurement cell Hastelloy 700mm w/Sapphire windows & flanges,112137,Measurement cell Hastelloy 700mm w/Sapphire windows & flanges," Electropolished Hastelloy, suited for DN-50 Flanges，price on req",0,0,1,0,0
LaserGas II Single Path,Insertion tubes,102360 Insertion tube kit Ø 68/65 mm L 1500 mm,102360,Insertion tube kit Ø 68/65 mm L 1500 mm,"Pair, Length : 1.5m, Flanges >DN80/ANSI 3"", SS316",9775,0,1,9775,9775
LaserGas II Single Path,Insertion tubes,106524 Insertion tube kit Ø 44.5 mm L 1000 mm,106524,Insertion tube kit Ø 44.5 mm L 1000 mm," Insertion tube kit LGII/LGIII, OD=44,5mm, SS316",8395,0,1,8395,8395
LaserGas II Single Path,Windows assembly,100225 Window assembly LaserGas II SP (BK7),100225,Window assembly LaserGas II SP (BK7),price per piece. BK7 windows,5290,0,1,5290,5290
LaserGas II Single Path,Windows assembly,100651 Window assembly LaserGas II SP (FS),100651,Window assembly LaserGas II SP (FS),price per piece. Fused silica windows,5635,0,1,5635,5635
LaserGas II Single Path,Windows assembly,100652 Window assembly LaserGas II SP HP (FS),100652,Window assembly LaserGas II SP HP (FS),price per piece. Fused silica windows,8395,0,1,8395,8395
LaserGas II Single Path,Windows assembly,102660 Window assembly LaserGas II SP (Sapphire),102660,Window assembly LaserGas II SP (Sapphire),price per piece. Sapphire windows,11155,0,1,11155,11155
LaserGas II Single Path,Windows assembly,109828 Window assembly LaserGas II H2 SP (BK7),109828,Window assembly LaserGas II H2 SP (BK7),"Only for H2, price per piece. BK7 windows",5635,0,1,5635,5635
LaserGas II Single Path,Ex‐n/Ex‐p Controller,"101807 Ex‐p Control System, Zone 1/Category 2, 24VDC",101807,"Ex‐p Control System, Zone 1/Category 2, 24VDC",,110515,0,1,110515,110515
LaserGas II Single Path,Ex‐n/Ex‐p Controller,"104629 Ex-p Disconnection Box 8Ch, Zone 1/Category 2, 24VDC",104629,"Ex-p Disconnection Box 8Ch, Zone 1/Category 2, 24VDC",,22425,0,1,22425,22425
LaserGas II Single Path,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (No purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (No purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
LaserGas II Single Path,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (No purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (No purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
LaserGas II Single Path,Isolation flanges,"106867 IsolationFlange, DN50/PN16 760 (PED) (w/purge)",106867,"IsolationFlange, DN50/PN16 760 (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106868 IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106902 IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106905 IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106907 IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106909 IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106911 IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106913 IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Isolation flanges,"106915 IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Single Path,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Single Path,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Single Path,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserGas II Single Path,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserGas II Single Path,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserGas II Single Path,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Single Path,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Single Path,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserGas II Single Path,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserGas II Single Path,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserGas II Single Path,Spare part kit,"102418 Spare part kit LGII SP FS-windows DN50/Ansi 2""",102418,"Spare part kit LGII SP FS-windows DN50/Ansi 2""",Standard flange- and O-ring material,11960,0,1,11960,11960
LaserGas II Single Path,Spare part kit,"108141 Spare part kit LGII SP FS-windows Viton DN50/Ansi 2""",108141,"Spare part kit LGII SP FS-windows Viton DN50/Ansi 2""",Viton O-rings,13915,0,1,13915,13915
LaserGas II Single Path,Spare part kit,"106235 Spare part kit LGII SP BK7-windows DN50/Ansi 2""",106235,"Spare part kit LGII SP BK7-windows DN50/Ansi 2""",Standard flange- and O-ring material,11270,0,1,11270,11270
LaserGas II Single Path,Spare part kit,"108142 Spare part kit LGII SP BK7-windows Viton DN50/Ansi 2""",108142,"Spare part kit LGII SP BK7-windows Viton DN50/Ansi 2""",Viton O-rings,13340,0,1,13340,13340
LaserGas II Single Path,Spare part kit,"103246 Spare part kit LGII SP no windows DN50/Ansi 2""",103246,"Spare part kit LGII SP no windows DN50/Ansi 2""",Standard flange- and O-ring material,2300,0,1,2300,2300
LaserGas II Single Path,Spare part kit,"108813 Spare part kit LGII SP no windows Viton DN50/Ansi 2""",108813,"Spare part kit LGII SP no windows Viton DN50/Ansi 2""",Viton O-rings,5290,0,1,5290,5290
LaserGas II Single Path,Spare part kit,"111748 Spare part kit LGII SP no windows Viton DN80/Ansi 3""",111748,"Spare part kit LGII SP no windows Viton DN80/Ansi 3""",Viton O-rings,6555,0,1,6555,6555
LaserGas II Single Path,Spare part kit,"111749 Spare part kit LGII SP BK7-windows Viton DN80/Ansi 3""",111749,"Spare part kit LGII SP BK7-windows Viton DN80/Ansi 3""",Viton O-rings,12880,0,1,12880,12880
LaserGas II Single Path,Spare part kit,"108991 Spare part kit LGII SP no windows Viton DN100/Ansi 4""",108991,"Spare part kit LGII SP no windows Viton DN100/Ansi 4""",Viton O-rings,7475,0,1,7475,7475
LaserGas II Single Path,Spare part kit,"108992 Spare part kit LGII SP BK7-windows Viton DN100/Ansi 4""",108992,"Spare part kit LGII SP BK7-windows Viton DN100/Ansi 4""",Viton O-rings,17250,0,1,17250,17250
LaserGas II Single Path,Spare part kit,108028 Commissioning Spare parts kit LG II SP,108028,Commissioning Spare parts kit LG II SP,"Standard package, Only SP",11615,0,1,11615,11615
LaserGas II Single Path,Spare part kit,"110203 Sun shade Kit, LaserGas II SP",110203,"Sun shade Kit, LaserGas II SP",,22425,0,1,22425,22425
LaserGas II Compact,Calibration cells,103426 Calibration Cell LGII SP Electropolished l=712 mm (AISI316),103426,Calibration Cell LGII SP Electropolished l=712 mm (AISI316),Swagelok 6 mm OD fittings,11845,0,1,11845,11845
LaserGas II Compact,Calibration cells,100224 Calibration Cell LaserGas II SP l=712 mm (Al),100224,Calibration Cell LaserGas II SP l=712 mm (Al),Swagelok 6 mm OD fittings,5980,0,1,5980,5980
LaserGas II Compact,Calibration cells,100358 Calibration Cell LaserGas II SP l=712 mm (AISI316),100358,Calibration Cell LaserGas II SP l=712 mm (AISI316),Swagelok 6 mm OD fittings,10350,0,1,10350,10350
LaserGas II Compact,Calibration cells,101102 Calibration cell kit LaserGas II SP HF (Al+PTFE),101102,Calibration cell kit LaserGas II SP HF (Al+PTFE),incl. PTFE cell w/ sapphire window,10925,0,1,10925,10925
LaserGas II Compact,Alignment kits,106897 Alignment tool kit LaserGas II/ III/ Q SP,106897,Alignment tool kit LaserGas II/ III/ Q SP,Complete with target,4830,0,1,4830,4830
LaserGas II Compact,Span check box,101833 LGII/LD Span/Zero Switch box,101833,LGII/LD Span/Zero Switch box,,4370,0,1,4370,4370
LaserGas II Compact,Measurement cell,102576 Measurement cell L 700mm w/ Saphire windows & Spool,102576,Measurement cell L 700mm w/ Saphire windows & Spool,"Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas II Compact,Measurement cell,106162 Measurement cell L 500mm w/ Saphire windows & Spool,106162,Measurement cell L 500mm w/ Saphire windows & Spool,"Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas II Compact,Measurement cell,106161 Measurement cell L 200mm w/ Saphire windows & Spool,106161,Measurement cell L 200mm w/ Saphire windows & Spool,"Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas II Compact,Measurement cell,109580 Measurement cell Hastelloy 700mm w/Sapphire windows & spool ,109580,Measurement cell Hastelloy 700mm w/Sapphire windows & spool ,"Electropolished Hastelloy, including spool piece, Price on request",0,0,1,0,0
LaserGas II Compact,Measurement cell,111295 Measurement cell Hastelloy 300mm w/Sapphire windows & spool,111295,Measurement cell Hastelloy 300mm w/Sapphire windows & spool,"Electropolished Hastelloy, including spool piece, Price on request",0,0,1,0,0
LaserGas II Compact,Insertion tubes,106524 Insertion tube kit Ø 44.5 mm L 1000 mm,106524,Insertion tube kit Ø 44.5 mm L 1000 mm,"Pair, Length: 1.0m",8395,0,1,8395,8395
LaserGas II Compact,Insertion tubes,106525 Insertion tube kit Ø 18/15 mm L 200mm,106525,Insertion tube kit Ø 18/15 mm L 200mm,"Pair, Length = 200mm",8395,0,1,8395,8395
LaserGas II Compact,Insertion tubes,106526 Insertion tube kit Ø 12/9 mm L 200mm,106526,Insertion tube kit Ø 12/9 mm L 200mm,"Pair, Length = 200mm",8395,0,1,8395,8395
LaserGas II Compact,Insertion tubes,106527 Insertion tube kit Ø 10/8 mm L 200mm,106527,Insertion tube kit Ø 10/8 mm L 200mm,"Pair, Length = 200mm",8395,0,1,8395,8395
LaserGas II Compact,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (no purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
LaserGas II Compact,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
LaserGas II Compact,Isolation flanges,"106867 IsolationFlange, DN50/PN16 760 (PED) (w/purge)",106867,"IsolationFlange, DN50/PN16 760 (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106868 IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106902 IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106905 IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106907 IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106909 IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106911 IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106913 IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Isolation flanges,"106915 IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas II Compact,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Compact,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Compact,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserGas II Compact,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserGas II Compact,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserGas II Compact,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Compact,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Compact,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserGas II Compact,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserGas II Compact,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserGas II Compact,Spare part kit,"103246 Spare part kit LGII SP no windows DN50/Ansi 2""",103246,"Spare part kit LGII SP no windows DN50/Ansi 2""",Standard flange‐ and O‐ring material,2300,0,1,2300,2300
LaserGas II Compact,Spare part kit,"108813 Spare part kit LGII SP no windows Viton DN50/Ansi 2""",108813,"Spare part kit LGII SP no windows Viton DN50/Ansi 2""",Viton O‐rings,5290,0,1,5290,5290
LaserGas II Compact,Spare part kit,111436 Spare parts kit LGII Compact,111436,Spare parts kit LGII Compact,Viton O‐rings,4152,0,1,4152,4152
LaserGas II Multipass,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Multipass,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Multipass,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserGas II Multipass,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserGas II Multipass,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserGas II Multipass,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Multipass,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Multipass,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserGas II Multipass,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserGas II Multipass,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserGas II Open Path,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Open Path,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Open Path,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserGas II Open Path,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserGas II Open Path,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserGas II Open Path,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas II Open Path,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas II Open Path,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserGas II Open Path,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserGas II Open Path,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserGas II Open Path,Calibration kit,"101812 Calibration kit, LaserGas II OP",101812,"Calibration kit, LaserGas II OP",,10810,0,1,10810,10810
LaserGas III Single Path,Calibration cells,106113 Calibration cell LaserG III SP l=712 mm (Al),106113,Calibration cell LaserG III SP l=712 mm (Al),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings,5720,0,1,5720,5720
LaserGas III Single Path,Calibration cells,102782 Calibration cell LG III/Q l=712 mm (AISI316L),102782,Calibration cell LG III/Q l=712 mm (AISI316L),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings,11615,0,1,11615,11615
LaserGas III Single Path,Alignment kits,106897 Alignment tool kit LaserGas II/ III/ Q SP,106897,Alignment tool kit LaserGas II/ III/ Q SP,Complete with target,4830,0,1,4830,4830
LaserGas III Single Path,Measurement cell,102538 Measurement cell L 700mm w/Saphire windows & flanges,102538,Measurement cell L 700mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges",46460,0,1,46460,46460
LaserGas III Single Path,Measurement cell,106160 Measurement cell L 500mm w/Saphire windows & flanges,106160,Measurement cell L 500mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges",46460,0,1,46460,46460
LaserGas III Single Path,Measurement cell,106159 Measurement cell L 200mm w/Saphire windows & flanges,106159,Measurement cell L 200mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges",46460,0,1,46460,46460
LaserGas III Single Path,Measurement cell,"108558 Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ",108558,"Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece",42090,0,1,42090,42090
LaserGas III Single Path,Measurement cell,"108556 Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ",108556,"Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece",42090,0,1,42090,42090
LaserGas III Single Path,Measurement cell,"108557 Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ",108557,"Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece",42090,0,1,42090,42090
LaserGas III Single Path,Insertion tubes,102360 Insertion tube kit Ø 68/65 mm L 1500 mm,102360,Insertion tube kit Ø 68/65 mm L 1500 mm,"Pair, Length : 1.5m, Flanges >DN80/ANSI 3"", SS316",9750,0,1,9750,9750
LaserGas III Single Path,Insertion tubes,106524 Insertion tube kit Ø 44.5 mm L 1000 mm,106524,Insertion tube kit Ø 44.5 mm L 1000 mm,"Insertion tube kit LGII/LGIII, OD=44,5mm, SS316",8395,0,1,8395,8395
LaserGas III Single Path,Dairy Clamp,106699 Dairy Clamp Kit LG3 (Gasket SMS 63.5 EPDM),106699,Dairy Clamp Kit LG3 (Gasket SMS 63.5 EPDM),See Spare Parts,1380,0,1,1380,1380
LaserGas III Single Path,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (no purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
LaserGas III Single Path,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts,16675,0,1,16675,16675
